1 909.7784 1128.838
1 910.0784 1128.84
2 910.3784 1128.843
2 910.6784 1128.845
2 910.9784 1128.848
2 911.2784 1128.85
2 911.5784 1128.853
2 911.8784 1128.856
3 912.1783 1128.858
5 912.4783 1128.861
6 912.7783 1128.863
6 913.0783 1128.866
7 913.3783 1128.869
9 913.6783 1128.871
9 913.9783 1128.874
10 914.2783 1128.876
11 914.5782 1128.879
12 914.8782 1128.881
14 915.1782 1128.884
14 915.4782 1128.887
15 915.7782 1128.889
16 916.0782 1128.892
17 916.3782 1128.894
19 916.6782 1128.897
19 916.9781 1128.9
20 917.2781 1128.902
21 917.5781 1128.905
22 917.8781 1128.907
24 918.1781 1128.91
24 918.4781 1128.913
25 918.7781 1128.915
26 919.0781 1128.918
27 919.3781 1128.92
29 919.6781 1128.923
29 919.9781 1128.926
30 920.2781 1128.928
31 920.5781 1128.931
32 920.8781 1128.933
34 921.178 1128.936
34 921.478 1128.938
35 921.778 1128.941
36 922.078 1128.944
37 922.378 1128.946
39 922.678 1128.949
39 922.978 1128.951
40 923.278 1128.954
41 923.5779 1128.957
42 923.8779 1128.959
44 924.1779 1128.962
44 924.4779 1128.964
45 924.7778 1128.967
46 925.0777 1128.969
47 925.3776 1128.972
49 925.6776 1128.975
49 925.9775 1128.977
50 926.2775 1128.98
51 926.5775 1128.982
52 926.8775 1128.985
54 927.1774 1128.988
54 927.4774 1128.99
55 927.7773 1128.993
56 928.0771 1128.995
57 928.377 1128.998
59 928.6769 1129
59 928.9768 1129.003
60 929.2767 1129.006
61 929.5766 1129.008
62 929.8765 1129.011
64 930.1765 1129.013
64 930.4764 1129.016
65 930.7762 1129.019
66 931.076 1129.021
67 931.3759 1129.024
69 931.6758 1129.026
69 931.9757 1129.029
70 932.2756 1129.032
71 932.5755 1129.034
72 932.8754 1129.037
74 933.1754 1129.039
74 933.4753 1129.042
75 933.7751 1129.044
76 934.075 1129.047
77 934.3749 1129.05
79 934.6748 1129.052
79 934.9747 1129.055
80 935.8743 1129.118
81 936.1727 1129.151
82 936.4711 1129.184
84 936.7695 1129.216
84 937.0679 1129.249
85 937.3663 1129.282
86 937.6647 1129.314
87 937.963 1129.347
89 938.2614 1129.38
89 938.5598 1129.412
90 938.8582 1129.445
91 939.1566 1129.478
92 939.4551 1129.51
94 939.7534 1129.543
94 940.0518 1129.576
95 940.3502 1129.608
96 940.6486 1129.641
97 940.947 1129.674
99 941.2454 1129.706
99 941.5438 1129.739
99 941.8422 1129.772
101 942.1406 1129.804
101 942.439 1129.837
103 942.7374 1129.87
103 943.0359 1129.902
104 943.3342 1129.935
105 943.6326 1129.968
106 943.931 1130
108 944.2294 1130.033
108 944.5278 1130.066
109 944.8262 1130.098
110 945.1245 1130.131
111 945.4229 1130.164
113 945.7214 1130.196
113 946.0198 1130.229
