1;x;909.480
1;y;1128.670
1;s;124.834
1;d;6.165
1;yaw;0.000
1;speed;0.000
1;end_path_s;0.000
1;end_path_d;0.000
1;previous_path_x;[]
1;previous_path_y;[]
1;next_s_vals;[125.134,125.434,125.734,126.034,126.334,126.634,126.934,127.234,127.534,127.834,128.134,128.434,128.734,129.034,129.334,129.634,129.934,130.234,130.534,130.834,131.134,131.434,131.734,132.034,132.334,132.634,132.934,133.234,133.534,133.834,134.134,134.434,134.734,135.034,135.334,135.634,135.934,136.234,136.534,136.834,137.134,137.434,137.734,138.034,138.334,138.634,138.934,139.234,139.534,139.834]
1;next_d_vals;[6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000]
1;next_x_vals;[909.778,910.078,910.378,910.678,910.978,911.278,911.578,911.878,912.178,912.478,912.778,913.078,913.378,913.678,913.978,914.278,914.578,914.878,915.178,915.478,915.778,916.078,916.378,916.678,916.978,917.278,917.578,917.878,918.178,918.478,918.778,919.078,919.378,919.678,919.978,920.278,920.578,920.878,921.178,921.478,921.778,922.078,922.378,922.678,922.978,923.278,923.578,923.878,924.178,924.478]
1;next_y_vals;[1128.838,1128.840,1128.843,1128.845,1128.848,1128.850,1128.853,1128.856,1128.858,1128.861,1128.863,1128.866,1128.869,1128.871,1128.874,1128.876,1128.879,1128.882,1128.884,1128.887,1128.889,1128.892,1128.894,1128.897,1128.900,1128.902,1128.905,1128.907,1128.910,1128.913,1128.915,1128.918,1128.920,1128.923,1128.926,1128.928,1128.931,1128.933,1128.936,1128.938,1128.941,1128.944,1128.946,1128.949,1128.951,1128.954,1128.957,1128.959,1128.962,1128.964]
2;x;909.778
2;y;1128.838
2;s;125.133
2;d;5.999
2;yaw;15.868
2;speed;38.299
2;end_path_s;139.833
2;end_path_d;6.001
2;previous_path_x;[910.078,910.378,910.678,910.978,911.278,911.578,911.878,912.178,912.478,912.778,913.078,913.378,913.678,913.978,914.278,914.578,914.878,915.178,915.478,915.778,916.078,916.378,916.678,916.978,917.278,917.578,917.878,918.178,918.478,918.778,919.078,919.378,919.678,919.978,920.278,920.578,920.878,921.178,921.478,921.778,922.078,922.378,922.678,922.978,923.278,923.578,923.878,924.178,924.478]
2;previous_path_y;[1128.840,1128.843,1128.845,1128.848,1128.850,1128.853,1128.856,1128.858,1128.861,1128.863,1128.866,1128.869,1128.871,1128.874,1128.876,1128.879,1128.881,1128.884,1128.887,1128.889,1128.892,1128.894,1128.897,1128.900,1128.902,1128.905,1128.907,1128.910,1128.913,1128.915,1128.918,1128.920,1128.923,1128.926,1128.928,1128.931,1128.933,1128.936,1128.938,1128.941,1128.944,1128.946,1128.949,1128.951,1128.954,1128.957,1128.959,1128.962,1128.964]
2;next_s_vals;[140.133]
2;next_d_vals;[6.000]
2;next_x_vals;[910.078,910.378,910.678,910.978,911.278,911.578,911.878,912.178,912.478,912.778,913.078,913.378,913.678,913.978,914.278,914.578,914.878,915.178,915.478,915.778,916.078,916.378,916.678,916.978,917.278,917.578,917.878,918.178,918.478,918.778,919.078,919.378,919.678,919.978,920.278,920.578,920.878,921.178,921.478,921.778,922.078,922.378,922.678,922.978,923.278,923.578,923.878,924.178,924.478,924.778]
2;next_y_vals;[1128.840,1128.843,1128.845,1128.848,1128.850,1128.853,1128.856,1128.858,1128.861,1128.863,1128.866,1128.869,1128.871,1128.874,1128.876,1128.879,1128.881,1128.884,1128.887,1128.889,1128.892,1128.894,1128.897,1128.900,1128.902,1128.905,1128.907,1128.910,1128.913,1128.915,1128.918,1128.920,1128.923,1128.926,1128.928,1128.931,1128.933,1128.936,1128.938,1128.941,1128.944,1128.946,1128.949,1128.951,1128.954,1128.957,1128.959,1128.962,1128.964,1128.967]
3;x;910.078
3;y;1128.840
3;s;125.433
3;d;6.000
3;yaw;0.478
3;speed;33.560
3;end_path_s;140.133
3;end_path_d;6.000
3;previous_path_x;[910.378,910.678,910.978,911.278,911.578,911.878,912.178,912.478,912.778,913.078,913.378,913.678,913.978,914.278,914.578,914.878,915.178,915.478,915.778,916.078,916.378,916.678,916.978,917.278,917.578,917.878,918.178,918.478,918.778,919.078,919.378,919.678,919.978,920.278,920.578,920.878,921.178,921.478,921.778,922.078,922.378,922.678,922.978,923.278,923.578,923.878,924.178,924.478,924.778]
3;previous_path_y;[1128.843,1128.845,1128.848,1128.850,1128.853,1128.856,1128.858,1128.861,1128.863,1128.866,1128.869,1128.871,1128.874,1128.876,1128.879,1128.881,1128.884,1128.887,1128.889,1128.892,1128.894,1128.897,1128.900,1128.902,1128.905,1128.907,1128.910,1128.913,1128.915,1128.918,1128.920,1128.923,1128.926,1128.928,1128.931,1128.933,1128.936,1128.938,1128.941,1128.944,1128.946,1128.949,1128.951,1128.954,1128.957,1128.959,1128.962,1128.964,1128.967]
3;next_s_vals;[140.433]
3;next_d_vals;[6.000]
3;next_x_vals;[910.378,910.678,910.978,911.278,911.578,911.878,912.178,912.478,912.778,913.078,913.378,913.678,913.978,914.278,914.578,914.878,915.178,915.478,915.778,916.078,916.378,916.678,916.978,917.278,917.578,917.878,918.178,918.478,918.778,919.078,919.378,919.678,919.978,920.278,920.578,920.878,921.178,921.478,921.778,922.078,922.378,922.678,922.978,923.278,923.578,923.878,924.178,924.478,924.778,925.078]
